cabecera_monitoreo_id;cod_ipress;ipress;modulo;tipo_conectividad;wifi_fuente;operador_servicio
8;3361;LA PALMA GRANDE;gestion_administrativa;;;
8;3361;LA PALMA GRANDE;citas;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;triaje;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;consulta_medicina;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;consulta_odontologia;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;consulta_nutricion;;;
8;3361;LA PALMA GRANDE;consulta_psicologia;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;cred;WIFI;ESTABLECIMIENTO;WOW
8;3361;LA PALMA GRANDE;inmunizaciones;WIFI;ESTABLECIMIENTO;WOW
8;3361;LA PALMA GRANDE;atencion_prenatal;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;planificacion_familiar;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;parto;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;puerperio;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;fua_electronico;CABLEADO;;MOVISTAR
8;3361;LA PALMA GRANDE;farmacia;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;referencias;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;laboratorio;CABLEADO;;WOW
8;3361;LA PALMA GRANDE;urgencias;CABLEADO;;WOW
